Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"DJ LeMahieu","NYY",112,0.13392857,0.22321429,0.6,0.25531915,0.35714286,0.40425532,0.76139818,0.14893617,0.29850746,15.221478926590247,1.5749307746203394,0.3353065720626286,115.51543127898651,9874
2023,"Trayce Thompson","2 Tms",81,0.14814815,0.49382716,0.3,0.11764706,0.25925926,0.20588235,0.46514161,0.08823529,0.23076923,3.7170581366942628,-6.152320437498261,0.22691797179940307,37.941066908572154,9952
2023,"Mike Trout","LAA",96,0.09375,0.28125,0.33333333,0.27906977,0.35416667,0.41860465,0.77277132,0.13953488,0.375,12.799255281431691,1.1022140083146243,0.3321994149938543,109.38065624899296,10155
2023,"Randal Grichuk","2 Tms",134,0.08955224,0.12686567,0.70588235,0.32786885,0.3880597,0.60655738,0.99461708,0.27868853,0.32989691,27.150485430704986,10.823365320312416,0.41522310990275757,155.29598442150416,10243
2023,"Marcell Ozuna","ATL",139,0.09352518,0.17985612,0.52,0.27777778,0.34532374,0.63492063,0.98024437,0.35714285,0.25842697,26.98625739216359,10.049916382129505,0.4054328263669774,155.51876340376927,10324
2023,"Enrique Hernandez","2 Tms",161,0.08074534,0.11801242,0.68421053,0.23943662,0.3,0.33802817,0.63802817,0.09859155,0.25,14.244260713799289,-5.372652254657456,0.27832798238070505,70.74386906394739,10472
2023,"Carlos Perez","OAK",96,0.02083333,0.15625,0.13333333,0.28571429,0.3125,0.42857143,0.74107143,0.14285714,0.31081081,11.726577039092959,0.02953576597589297,0.3187451511621475,106.61353705309948,10642
2023,"Jurickson Profar","2 Tms",147,0.08843537,0.14965986,0.59090909,0.27480916,0.34693878,0.42748092,0.7744197,0.15267176,0.31481481,20.18120757920999,2.2701131297494817,0.3369695086057494,97.31859330014936,10815
2023,"Adam Duvall","BOS",93,0.04301075,0.3655914,0.11764706,0.24418605,0.27956989,0.47674419,0.75631408,0.23255814,0.35294118,10.82347734766481,-0.5080313856673474,0.3117970655793729,90.9747171690428,10950
2023,"Kevin Kiermaier","TOR",96,0.04166667,0.23958333,0.17391304,0.28089888,0.32631579,0.38202247,0.70833826,0.10112359,0.36923077,11.11494914494904,-0.5820921281680248,0.31107369598589446,98.05357163078831,11038
2023,"Whit Merrifield","TOR",147,0.06122449,0.14285714,0.42857143,0.25925926,0.29931973,0.39259259,0.69191232,0.13333333,0.28070175,15.059089423074974,-2.852005026385532,0.2950135199990991,86.9221697242146,11281
2023,"Yasmani Grandal","CHW",96,0.09375,0.26041667,0.36,0.23255814,0.3125,0.37209302,0.68459302,0.13953488,0.29310345,10.141837913300893,-1.5552033598161707,0.2988682696693822,87.19723102732355,11368
2023,"Mark Canha","2 Tms",166,0.12650602,0.13855422,0.91304348,0.26428571,0.36144578,0.46428571,0.82573149,0.2,0.27192982,25.126846321352595,4.900712453254337,0.35351373571338074,125.57293888035412,11445
2023,"Christian Yelich","MIL",159,0.08805031,0.2327044,0.37837838,0.23448276,0.30188679,0.33103448,0.63292127,0.09655172,0.2952381,14.292548119102955,-5.080676489497184,0.2798990297921096,72.54712031624587,11477
2023,"Michael A. Taylor","MIN",112,0.07142857,0.3125,0.22857143,0.25242718,0.3125,0.60194175,0.91444175,0.34951457,0.28813559,19.3690426159691,5.72249446399919,0.37989649708781925,145.65201274050546,11489
2023,"Manny Machado","SDP",149,0.09395973,0.17449664,0.53846154,0.30827068,0.37583893,0.5112782,0.88711713,0.20300752,0.33663366,25.82312455741128,7.66834174809417,0.38034403644152137,145.3296001788538,11493
